time,code,class
36.711,w,1
50.162,q,1
52.682,w,1
73.68,q,1
82.641,w,1
118.802,q,1
146.802,w,1
166.48,q,1
173.483,w,1
183.842,o,1
192.801,w,1
193.644,q,1
200.084,w,1
207.642,q,1
211.002,w,1
213.523,o,1
216.044,p,1
220.241,q,1
233.124,w,1
252.725,o,1
253.562,p,1
257.206,o,1
259.481,q,1
267.203,w,1
276.442,q,1
285.124,w,1
285.963,q,1
311.924,w,1
312.761,q,1
375.566,w,1
377.801,q,1
424.285,w,1
424.844,q,1
489.523,o,1
490.364,p,1
493.726,o,1
496.282,w,1
508.922,q,1
512.001,w,1
513.963,o,1
515.361,p,1
517.041,w,1
520.68,q,1
525.161,p,1
531.04,q,1
537.761,w,1
540.565,o,1
541.401,w,1
543.921,o,1
545.602,w,1
548.96,o,1
552.605,p,1
555.682,o,1
561.28,p,1
564.083,w,1
565.763,q,1
586.484,w,1
593.762,o,1
597.68,p,1
601.321,o,1
603.007,w,1
605.805,q,1
608.88,o,1
611.122,p,1
611.963,o,1
612.524,p,1
618.44,o,1
618.722,p,1
625.723,o,1
632.44,w,1
641.121,o,1
642.243,p,1
649.881,o,1
654.922,w,1
662.58,END,0
