time,code,class
47.287,q,1
61.282,w,1
63.802,q,1
78.642,w,1
81.162,q,1
93.483,p,1
96.565,q,1
104.681,p,1
106.084,q,1
107.201,p,1
112.524,q,1
122.043,p,1
123.441,q,1
130.444,p,1
132.12,q,1
136.881,p,1
140.241,q,1
144.724,p,1
146.124,q,1
151.721,p,1
153.123,q,1
159.283,p,1
160.962,q,1
167.682,p,1
168.804,q,1
177.486,p,1
180.28,q,1
190.922,p,1
192.882,q,1
200.164,p,1
202.521,q,1
209.521,p,1
211.203,q,1
218.761,p,1
219.884,q,1
226.322,p,1
227.161,q,1
234.443,p,1
239.485,q,1
246.768,p,1
250.4,q,1
259.361,p,1
260.764,q,1
265.244,p,1
267.481,q,1
273.922,p,1
276.445,q,1
287.087,p,1
288.484,q,1
313.403,p,1
314.803,q,1
324.322,p,1
326.002,q,1
333.561,p,1
340.282,q,1
345.601,p,1
352.32,q,1
387.883,p,1
393.202,o,1
394.325,p,1
397.403,q,1
643.524,w,1
645.764,p,1
649.685,q,1
650.561,p,1
657.005,q,1
658.442,p,1
672.724,q,1
674.406,p,1
704.828,END,0
