time,code,class
23.6,q,1
29.563,w,1
36.561,q,1
40.484,w,1
49.164,q,1
53.081,w,1
53.365,q,1
69.885,w,1
85,q,1
85.847,w,1
92.844,q,1
113.565,w,1
118.603,p,1
132.602,q,1
135.684,w,1
139.601,q,1
145.484,w,1
146.603,q,1
153.887,p,1
155.843,w,1
157.521,q,1
158.362,w,1
164.524,q,1
339.8,w,1
344.562,q,1
346.245,w,1
347.923,q,1
354.683,w,1
363.924,q,1
368.121,w,1
372.042,q,1
383.244,w,1
385.761,q,1
387.723,w,1
395.323,q,1
403.166,w,1
405.124,o,1
406.241,p,1
408.204,q,1
411.561,p,1
423.603,q,1
425.284,p,1
428.923,q,1
430.884,p,1
437.602,q,1
440.121,p,1
441.805,q,1
449.362,p,1
450.481,q,1
459.161,p,1
460.562,q,1
461.963,p,1
465.326,q,1
470.084,p,1
480.725,q,1
483.246,p,1
493.041,q,1
497.245,p,1
505.364,q,1
507.041,p,1
516.005,q,1
522.163,p,1
531.405,q,1
540.925,p,1
542.604,q,1
543.443,p,1
548.48,q,1
553.525,p,1
563.323,q,1
578.722,p,1
579.565,q,1
592.162,p,1
593.563,q,1
729.266,END,0
