time,code,class
22.84,w,1
43.28,q,1
90.88,w,1
95.921,q,1
142.121,w,1
150.801,q,1
200.16,w,1
211.082,q,1
214.161,w,1
231.242,o,1
232.082,w,1
235.164,q,1
237.12,w,1
291.723,q,1
293.4,w,1
294.8,q,1
308.52,w,1
315.521,o,1
316.365,w,1
321.961,o,1
322.801,w,1
337.641,o,1
341.001,q,1
348.84,w,1
356.681,o,1
358.121,q,1
393.764,w,1
396.841,q,1
442.764,p,1
453.12,o,1
454.52,w,1
459.28,q,1
467.121,p,1
474.16,q,1
483.681,p,1
507.52,o,1
516.48,w,1
523.76,q,1
524.04,p,1
526.843,o,1
528.242,w,1
533.001,o,1
533.84,w,1
538.881,o,1
541.96,p,1
543.36,o,1
546.72,w,1
560.443,q,1
564.08,w,1
568.561,q,1
587.64,w,1
590.161,q,1
600.241,w,1
603.601,q,1
610.882,w,1
622.36,q,1
659.14,END,0
