time,code,class
15.802,w,1
28.121,q,1
29.803,w,1
30.92,p,1
38.48,o,1
39.04,p,1
40.16,o,1
40.72,w,1
48.281,q,1
62.321,p,1
63.72,w,1
65.681,q,1
84.161,w,1
94.242,q,1
103.761,w,1
110.48,o,1
111.603,w,1
112.44,q,1
113.281,o,1
115.802,p,1
123.365,q,1
133.76,w,1
146.641,q,1
159.8,w,1
166.002,q,1
169.08,w,1
170.761,q,1
185.641,w,1
191.24,o,1
192.641,p,1
194.041,o,1
196.844,w,1
197.401,q,1
211.68,w,1
215.88,q,1
216.721,w,1
220.364,q,1
236.04,p,1
243.321,o,1
243.6,p,1
247.24,o,1
250.32,w,1
259.001,q,1
308.563,p,1
310.801,q,1
314.72,p,1
317.52,q,1
318.921,p,1
329.282,o,1
332.641,w,1
341.881,q,1
365.68,w,1
371.84,o,1
373.521,p,1
375.761,o,1
379.401,w,1
381.081,q,1
383.6,p,1
394.24,o,1
395.361,w,1
401.241,q,1
402.36,w,1
404.04,q,1
404.6,w,1
406.84,q,1
411.045,w,1
413.045,p,1
419.204,o,1
421.72,w,1
423.68,q,1
437.403,w,1
453.361,q,1
502.96,w,1
508.563,q,1
543,w,1
550,o,1
551.961,p,1
553.92,o,1
554.76,p,1
560.362,o,1
563.44,w,1
566.24,q,1
567.641,p,1
569.321,o,1
571.561,p,1
581.082,w,1
583.601,p,1
585.004,q,1
586.964,p,1
602.641,o,1
604.88,w,1
608.522,q,1
610.451,p,1
623.041,o,1
626.12,w,1
634.64,q,1
635.76,w,1
639.22,END,0
