time,code,class
37.921, w,1
50.241,q,1
52.76, w,1
73.2,q,1
83.281, w,1
118.28,q,1
123.881, w,1
167,q,1
173.72, w,1
183.8, o,1
186.88, p,1
188.001, o,1
193.041, w,1
193.88,q,1
200.04, w,1
202.84,q,1
204.8, w,1
207.881,q,1
211.521, w,1
213.76, o,1
216, p,1
220.48,q,1
233.641, w,1
240.641,q,1
242.321, w,1
253.52, p,1
257.44, o,1
260.241,q,1
267.8, w,1
272,q,1
376.161, w,1
378.121,q,1
491.2, p,1
494.84, o,1
497.442, w,1
506.282,q,1
507.842, w,1
510.442,q,1
513.04, w,1
515.12, o,1
516.162, p,1
518.242, w,1
521.36,q,1
526.562, p,1
531.762,q,1
543.72, o,1
545.28, w,1
546.32, o,1
548.4, w,1
549.962, o,1
552.562, p,1
556.202, o,1
561.922, p,1
564.522,q,1
567.12, w,1
583.76,q,1
587.402, w,1
594.682, o,1
597.8, p,1
602.482, o,1
606.12, w,1
610.28, o,1
611.842, p,1
625.882, o,1
632.642, w,1
643.56, p,1
650.842, o,1
655.002, w,1
662.382,END,0
