time,code,class
42.72,q,1
125.402, w,1
135.282,q,1
175.84, w,1
180.002,q,1
189.882, w,1
223.68,q,1
234.082, w,1
242.922,q,1
264.24, w,1
288.682, o,1
294.402, p,1
297.002, o,1
305.842, w,1
308.962, o,1
323.002, p,1
324.56, o,1
327.16, p,1
332.362, w,1
347.962,q,1
355.24, w,1
361.482,q,1
388.52, w,1
400.48,q,1
416.602, p,1
420.24, o,1
423.88, p,1
436.362, o,1
444.682, w,1
450.922,q,1
458.2, p,1
460.282, o,1
461.32, p,1
472.24, o,1
481.602, p,1
497.2,q,1
543.44, p,1
568.922, o,1
573.602, p,1
589.202,q,1
625.082, w,1
630.28,q,1
662.66,END,0
