time,code,class
26.399, w,1
43.561,q,1
93.479, w,1
96.079,q,1
147.039, w,1
151.719,q,1
201.641, w,1
211.521,q,1
216.199, w,1
231.799, o,1
232.839, w,1
235.959,q,1
238.039, w,1
295.239,q,1
308.759, w,1
315.519, o,1
317.599, w,1
322.799, o,1
323.839, w,1
337.881, o,1
342.039,q,1
349.841, w,1
357.119, o,1
358.679, w,1
359.201,q,1
395.081, w,1
397.161,q,1
443.439, p,1
453.841, o,1
455.401, w,1
459.559,q,1
467.879, p,1
474.641,q,1
484.519, p,1
508.961, o,1
512.081, w,1
525.081, p,1
527.681, o,1
528.719, w,1
539.121, o,1
541.721, p,1
543.799, o,1
547.441, w,1
560.959,q,1
566.679, w,1
567.199,q,1
588.519, w,1
591.639,q,1
600.999, w,1
604.119,q,1
616.081, w,1
628.599,q,1
658.943,END,0
