time,code,class
47.955, w,1
53.401,q,1
62.759, w,1
70.561,q,1
82.521, w,1
84.599, o,1
85.119, p,1
89.279, w,1
97.161,q,1
108.601, p,1
118.481, o,1
120.039, w,1
124.201,q,1
127.321, w,1
127.841,q,1
136.681, p,1
146.039, o,1
149.681, w,1
154.359,q,1
156.441, w,1
169.439,q,1
173.601, w,1
175.681, p,1
179.321,q,1
194.399, w,1
195.441,q,1
200.639, w,1
204.801, o,1
209.999, p,1
213.641, o,1
215.721, w,1
221.961,q,1
231.839, w,1
235.999,q,1
238.079, w,1
240.681, o,1
244.841, w,1
250.559,q,1
254.721, w,1
257.319,q,1
261.479, w,1
264.079,q,1
268.759, w,1
272.399, o,1
273.439, p,1
282.799, o,1
285.399, w,1
293.201,q,1
299.959, w,1
303.081,q,1
307.239, w,1
308.279,q,1
310.879, p,1
316.601, o,1
318.159, p,1
320.239,q,1
335.839, p,1
337.921,q,1
342.601, p,1
343.639,q,1
360.799, p,1
386.279,q,1
393.561, p,1
406.559, o,1
408.121, w,1
414.359,q,1
434.121, w,1
436.201, o,1
437.239, p,1
443.481, o,1
445.039, w,1
455.961,q,1
465.321, w,1
467.399,q,1
514.199, p,1
525.641, o,1
527.721, w,1
532.401,q,1
589.081, p,1
598.959,q,1
601.039, p,1
605.203,q,1
606.761, p,1
607.799,q,1
610.401, p,1
632.241,q,1
634.841, p,1
644.723, w,1
652.521,q,1
656.159, w,1
658.763, p,1
671.383,END,0
