time,code,class
26.319, w,1
27.879, p,1
33.081, o,1
37.759, w,1
50.241,q,1
65.839, w,1
72.599, o,1
78.839, p,1
82.479,q,1
94.441, w,1
97.559, o,1
101.201, p,1
104.841,q,1
115.761, w,1
118.879, o,1
122.519, p,1
125.641,q,1
136.559, w,1
142.799, p,1
149.561, o,1
152.161, p,1
158.399,q,1
170.881, w,1
177.119,q,1
178.681, p,1
182.839,q,1
184.401, p,1
193.759,q,1
212.481, p,1
214.561,q,1
217.161, p,1
231.201,q,1
243.159, p,1
244.721,q,1
258.239, p,1
259.801,q,1
265.521, p,1
277.479,q,1
615.999, w,1
620.159,q,1
621.719, w,1
630.039,q,1
641.479, w,1
644.081, o,1
645.119, p,1
648.239, o,1
650.839, p,1
655.44, o,1
659.06,END,0
