time,code,class
37.523, w,1
50.123,q,1
52.603, w,1
73.041,q,1
82.842, w,1
118.121,q,1
124.284, w,1
166.641,q,1
173.641, w,1
184.001, o,1
186.8, p,1
187.641, o,1
192.683, w,1
193.52,q,1
200.041, w,1
202.843,q,1
204.523, w,1
207.602,q,1
213.202, o,1
216.002, p,1
220.481,q,1
225.083, w,1
225.643,q,1
233.243, w,1
240.243,q,1
242.362, w,1
252.523, p,1
257.285, o,1
259.283, p,1
260.225,q,1
267.244, w,1
269.203,q,1
277.32, w,1
277.6,q,1
375.681, w,1
377.643,q,1
379.884, w,1
380.442,q,1
424.284, w,1
424.84,q,1
489.524, p,1
494.004, o,1
495.52, p,1
496.64, w,1
508.961,q,1
512.04, w,1
514, o,1
515.401, p,1
517.081, w,1
520.721,q,1
525.201, p,1
528.001,q,1
529.12, p,1
531.08,q,1
537.801, w,1
540.64, o,1
541.48, w,1
544, o,1
545.4, w,1
549.04, o,1
552.4, p,1
555.48, o,1
561.36, p,1
564.16,q,1
565.56, w,1
583.481,q,1
586.56, w,1
594.401, o,1
598.041, p,1
601.401, o,1
603.081, w,1
605.6,q,1
609.241, o,1
610.921, p,1
611.761, o,1
612.321, p,1
618.2, o,1
618.76, p,1
625.76, o,1
632.48, w,1
641.161, o,1
642, p,1
649.84, o,1
654.6, w,1
662.58,END,0
