time,code,class
39.044, p,1
43.562, w,1
45.522,q,1
46.644, w,1
49.161,q,1
100.68, w,1
102.921,q,1
117.764, w,1
121.404,q,1
223.283, w,1
224.68,q,1
237.882, p,1
246.562, o,1
247.403, w,1
248.802,q,1
249.643, w,1
266.404,q,1
271.443, w,1
273.96,q,1
284.045, p,1
289.642, o,1
290.764, w,1
291.324,q,1
292.162, w,1
321.763,q,1
331.283, p,1
348.604, o,1
349.441, w,1
386.683, p,1
390.321, o,1
391.442, w,1
392.282,q,1
393.121, w,1
415,q,1
417.84, p,1
438.763, o,1
440.163, p,1
440.723, o,1
442.122, w,1
462.609,q,1
485.603, w,1
497.361,q,1
499.04, w,1
500.083, p,1
504.562, o,1
505.961, w,1
511.563,q,1
516.603, w,1
517.723, p,1
527.241, o,1
528.081, w,1
529.484,q,1
530.882, w,1
537.604,q,1
557.203, w,1
559.444,q,1
567.843, w,1
577.084,q,1
581.001, w,1
581.84,q,1
591.646, w,1
593.042,q,1
607.081, w,1
613.243,q,1
616.082, w,1
616.681, p,1
618.921,q,1
635.721, w,1
636.843,q,1
637.963, p,1
652.241,q,1
653.361, w,1
655.322,q,1
661.088,END,0
