time,code,class
20.79, p,1
23.403, o,1
24.522, p,1
25.922, o,1
27.042, w,1
33.244,q,1
33.801, w,1
37.443, o,1
38.564, p,1
39.683, o,1
40.244, p,1
42.203, o,1
43.602, p,1
44.442, o,1
45.001, w,1
46.403,q,1
47.803, w,1
53.321,q,1
53.884, w,1
57.802,q,1
63.403, w,1
66.201,q,1
69.004, w,1
70.964, o,1
72.922, p,1
77.963,q,1
79.36, w,1
80.761,q,1
81.321, w,1
85.563, o,1
86.682, p,1
92.841,q,1
94.843, p,1
95.402,q,1
100.162, w,1
106.044, o,1
108.563, p,1
131.802,q,1
134.041, w,1
136.563,q,1
140.48, w,1
142.723, o,1
145.24, p,1
146.361, o,1
147.562, w,1
148.12,q,1
150.363, w,1
151.48,q,1
233.242, w,1
240.84,q,1
254.28, w,1
255.401,q,1
257.643, p,1
261.283,q,1
262.123, p,1
262.684,q,1
264.083, p,1
264.922, o,1
265.763, p,1
276.683, w,1
281.442, p,1
288.724,q,1
289.848, p,1
293.203,q,1
296.883, p,1
304.44,q,1
305.282, p,1
318.163,q,1
318.723, p,1
320.122,q,1
324.601, w,1
328.803, o,1
329.92, p,1
340.844,q,1
343.361, p,1
362.403,q,1
365.482, p,1
375.003, o,1
378.362, w,1
380.041,q,1
384.802, w,1
385.64,q,1
386.361, p,1
406.523,q,1
411.003, p,1
423.044,q,1
433.082, p,1
435.321,q,1
437.561, p,1
438.682,q,1
444.281, p,1
445.962,q,1
641.34,END,0
