time,code,class
24.64, w,1
26.32, o,1
37.52, w,1
48.2, o,1
48.76,q,1
58.56, w,1
59.12,q,1
65.002, w,1
71.44, o,1
79.281, p,1
80.32, w,1
81.44,q,1
84.24, w,1
85.365,q,1
86.2, w,1
86.76,q,1
88.72, w,1
90.121,q,1
90.964, w,1
92.361,q,1
93.2, w,1
97.123, o,1
100.761, p,1
103.28, o,1
103.56, w,1
105.52,q,1
108.6, w,1
109.16,q,1
113.96, w,1
117.321, o,1
122.361, p,1
125.44,q,1
135.08, w,1
140.4,q,1
141.52, p,1
148.24, o,1
151.881, p,1
158.32,q,1
168.681, w,1
171.76,q,1
175.121, p,1
176.8,q,1
178.201, p,1
182.401,q,1
184.12, p,1
192.8,q,1
211.561, p,1
214.08,q,1
216.88, p,1
222.2, o,1
222.761, p,1
231.16,q,1
242.64, p,1
243.761,q,1
258.321, p,1
259.161,q,1
265.32, p,1
277.646,q,1
613.96, w,1
619.281,q,1
620.68, w,1
630.201,q,1
631.041, w,1
632.44,q,1
633.56, w,1
633.84,q,1
637.2, w,1
637.76,q,1
640.681, w,1
641.8,q,1
642.92, w,1
643.76, o,1
644.88, p,1
647.72, o,1
651.36, p,1
654.72, o,1
659.06,END,0
