time,code,class
36.466, w,1
52.065,q,1
54.142, w,1
74.421,q,1
83.784, w,1
123.303,q,1
132.144, w,1
167.982,q,1
176.343, w,1
185.462, o,1
193.821, w,1
196.861,q,1
215.1, o,1
218.902, p,1
221.942,q,1
234.862, w,1
241.705,q,1
244.745, w,1
258.427, p,1
259.942, o,1
263.742,q,1
491.781, p,1
497.1,q,1
500.901, w,1
510.783,q,1
516.103, p,1
519.141,q,1
526.026, p,1
532.103,q,1
545.02, w,1
551.101, o,1
553.382, p,1
557.18, o,1
560.23, p,1
565.545,q,1
568.583, w,1
585.306,q,1
588.341, w,1
595.18, o,1
598.225, p,1
605.822, w,1
608.1,q,1
612.663, p,1
627.86, o,1
635.463, w,1
645.341, o,1
646.1, p,1
657.641, w,1
662.244,END,0
