time,code,class
49.741, o,1
51.263, w,1
71.06,q,1
74.86, w,1
85.502,q,1
97.78, w,1
126.863,q,1
132.19, w,1
142.181,q,1
145.981, w,1
157.381,q,1
174.108, w,1
183.981, o,1
186.269, w,1
189.304,q,1
202.224, w,1
205.268,q,1
220.461, p,1
225.022,q,1
249.341, w,1
259.987,q,1
280.502, o,1
281.262, p,1
289.67,q,1
309.426, p,1
317.021,q,1
337.581, w,1
341.387,q,1
360.389, p,1
368.741,q,1
371.027, p,1
390.225, w,1
393.264,q,1
426.14, p,1
436.861,q,1
446.021, p,1
475.782,q,1
513.022, p,1
529.743, w,1
541.141,q,1
582.23, p,1
593.621,q,1
614.903, p,1
638.467,q,1
651.38, w,1
655.227, p,1
657.504,q,1
672.701, p,1
683.367,q,1
686.12, o,1
686.12, p,1
686.12,END,0
