time,code,class
23.901, w,1
45.421,q,1
93.708, w,1
99.984,q,1
145.585, w,1
152.748,q,1
202.824, w,1
211.701,q,1
217.941, w,1
292.909,q,1
308.987, w,1
317.061, o,1
320.626, w,1
322.58, o,1
324.343, w,1
338.669, o,1
344.908,q,1
350.221, w,1
357.39, o,1
359.183, w,1
365.384,q,1
397.503, w,1
400.182,q,1
446.501, p,1
455.462, o,1
459.94, w,1
461.701,q,1
469.711, p,1
477.74,q,1
486.62, p,1
510.782, o,1
517.104, w,1
526.91, p,1
529.542, o,1
531.306, w,1
541.104, o,1
543.784, p,1
546.429, o,1
550.901, w,1
562.541,q,1
567.052, w,1
568.829,q,1
590.222, w,1
604.462,q,1
659.033,END,0
