time,code,class
19.985, o,1
19.985, p,1
24.18, o,1
25.023, p,1
26.42, o,1
27.822, w,1
33.42,q,1
35.102, w,1
37.621, o,1
38.742, p,1
39.862, o,1
40.42, p,1
45.744, w,1
46.581,q,1
48.264, w,1
58.343,q,1
64.062, w,1
66.303,q,1
70.222, w,1
71.621, o,1
73.02, p,1
78.344,q,1
81.425, w,1
88.307, o,1
89.185, p,1
98.07,q,1
102.51, w,1
107.821, o,1
109.581, p,1
132.941,q,1
135.622, w,1
138.261,q,1
142.706, w,1
144.508, o,1
145.42, p,1
151.626,q,1
152.506, w,1
155.222,q,1
243.426, w,1
244.304,q,1
259.381, p,1
263.783,q,1
265.585, p,1
278.99, w,1
284.301, p,1
304.75,q,1
306.58, p,1
319.065,q,1
327.188, w,1
329.903, o,1
333.465, p,1
343.228,q,1
345.941, p,1
365.617,q,1
367.384, p,1
378.061, o,1
383.389, w,1
386.105,q,1
389.623, p,1
408.268,q,1
412.71, p,1
424.261,q,1
434.869, p,1
439.303,q,1
444.59, p,1
446.422,q,1
640.858,END,0
