time,code,class
21.661, w,1
27.544, p,1
31.743, o,1
37.9, w,1
49.1,q,1
66.503, w,1
72.664, o,1
77.822, p,1
81.866, w,1
82.901,q,1
90.105, w,1
94.227,q,1
97.34, w,1
99.346, o,1
100.381, p,1
105.462, w,1
106.51,q,1
114.748, w,1
117.828, o,1
122.949, p,1
127.106,q,1
135.261, w,1
143.425, p,1
149.591, o,1
152.669, p,1
158.92,q,1
169.181, w,1
173.228,q,1
176.264, p,1
178.304,q,1
185.508, p,1
192.702,q,1
212.222, p,1
231.584,q,1
242.865, p,1
244.942,q,1
266.43, p,1
279.706,q,1
627.941, w,1
634.105,q,1
646.389, o,1
647.421, p,1
649.768, o,1
658.324,END,0
