time,code,class
42.522, p,1
44.484, w,1
45.602,q,1
47.001, w,1
49.524,q,1
117.48, w,1
125.32,q,1
239.481, p,1
246.481, o,1
247.602, w,1
266.364,q,1
283.962, p,1
289.841, o,1
290.682,q,1
291.001, w,1
291.563,q,1
292.401, w,1
322.362,q,1
331.321, p,1
348.68, o,1
349.801, w,1
386.484, p,1
390.402, o,1
391.801,q,1
392.122, w,1
392.681,q,1
393.522, w,1
414.801,q,1
419.564, p,1
439.444, o,1
440.281, p,1
440.842, o,1
442.52, w,1
462.682,q,1
486.201, w,1
499.921, p,1
504.4, o,1
506.364, w,1
511.403,q,1
517.003, w,1
517.842, p,1
527.082, o,1
528.203,q,1
528.602, w,1
529.442,q,1
531.963, w,1
538.681,q,1
557.16, w,1
560.521,q,1
569.201, w,1
577.56,q,1
592.121, w,1
593.244,q,1
607.8, w,1
613.401,q,1
616.483, w,1
616.76, p,1
618.722,q,1
636.084, w,1
636.922,q,1
638.043, p,1
653.723,q,1
661.18,END,0
