time,code,class
46.323, o,1
48,q,1
48.56, w,1
69.001,q,1
72.922, w,1
82.721,q,1
95.883, w,1
123.604,q,1
130.872, w,1
155.802,q,1
165.882, w,1
178.204, o,1
181.28, p,1
182.123, o,1
184.921, w,1
186.603,q,1
201.162, w,1
205.081,q,1
207.323, w,1
210.4,q,1
211.521, w,1
215.162, o,1
216.003, p,1
217.402, o,1
217.962, p,1
220.2, o,1
223.283,q,1
236.442, w,1
237.844,q,1
248.201, w,1
251.282, o,1
253.521,q,1
255.203, w,1
257.442,q,1
267.243, w,1
276.76, o,1
278.162, p,1
284.044,q,1
293.842, w,1
294.962,q,1
307.001, p,1
314.562,q,1
326.603, w,1
328.283,q,1
333.041, w,1
340.041,q,1
346.203, w,1
347.043,q,1
357.964, p,1
366.643,q,1
370.281, p,1
384.842, o,1
387.643, w,1
392.121,q,1
400.521, w,1
404.724,q,1
410.041, w,1
412.003,q,1
423.763, p,1
431.881,q,1
433.002, p,1
435.243,q,1
441.4, p,1
453.723,q,1
455.121, p,1
457.082,q,1
462.404, p,1
473.041,q,1
496.08, w,1
497.76,q,1
518.002, p,1
586.081,q,1
587.482, p,1
589.441,q,1
612.12, p,1
621.922,q,1
622.762, p,1
633.682,q,1
634.562, w,1
638.2,q,1
651.643, p,1
655.001,q,1
670.122, p,1
681.321,q,1
684.122, p,1
686.206,END,0
