time,code,class
24.561, w,1
43.603,q,1
94.722, w,1
96.122,q,1
142.483, w,1
150.88,q,1
204.841, w,1
211.283,q,1
214.362, w,1
231.72, o,1
232.564, w,1
235.641,q,1
238.52, w,1
291.723,q,1
308.88, w,1
315.6, o,1
316.722, w,1
322.042, o,1
323.16, w,1
337.723, o,1
341.922,q,1
349.762, w,1
356.76, o,1
357.88, w,1
358.723,q,1
396.242, w,1
397.36,q,1
443.044, p,1
453.401, o,1
454.802, w,1
459.282,q,1
467.401, p,1
473.563,q,1
484.481, p,1
508.002, o,1
515.281, w,1
524.241, p,1
527.324, o,1
528.722, w,1
533.204, o,1
534.041, w,1
539.081, o,1
541.88, p,1
543.843, o,1
547.484, w,1
564.002,q,1
565.12, w,1
567.362,q,1
588.643, w,1
591.44,q,1
600.68, w,1
604.044,q,1
616.08, w,1
622.803,q,1
659.065,END,0
