time,code,class
45.601, w,1
53.16,q,1
56.522, w,1
56.8,q,1
62.12, w,1
70.8,q,1
82.001, w,1
84.52, o,1
85.334, p,1
89.24, o,1
90.92, w,1
95.68,q,1
107.723, p,1
115.562, o,1
117.241, p,1
118.641, o,1
119.441, w,1
123.92,q,1
126.722, w,1
128.962,q,1
135.96, p,1
146.041, o,1
149.68, w,1
154.441,q,1
157.8, w,1
165.64,q,1
172.643, w,1
175.164, p,1
179.363,q,1
193.08, w,1
194.48,q,1
199.521, w,1
205.12, o,1
210.723, p,1
212.681, o,1
215.761, w,1
222.201,q,1
231.161, w,1
234.8,q,1
237.88, w,1
240.963, o,1
244.602, w,1
249.92,q,1
263.361, w,1
266.161,q,1
268.12, w,1
272.04, o,1
272.881, p,1
282.401, o,1
285.204, w,1
293.882,q,1
298.92, w,1
303.68,q,1
304.803, w,1
307.041,q,1
310.401, p,1
315.72, o,1
317.402, p,1
320.48,q,1
335.32, p,1
337,q,1
341.482, p,1
342.884,q,1
359.961, p,1
363.323,q,1
377.041, p,1
386.004,q,1
395.523, p,1
405.601, o,1
408.402, w,1
413.16,q,1
426.323, w,1
438.084, p,1
442.843, o,1
445.082, w,1
453.041,q,1
453.6, w,1
455.841,q,1
463.962, w,1
467.042,q,1
513.923, p,1
525.121, o,1
527.36, w,1
531.841,q,1
588.161, p,1
598.8,q,1
600.48, p,1
605.242,q,1
606.64, p,1
607.485,q,1
610.284, p,1
625.681, o,1
627.64, w,1
634.922, p,1
644.161, w,1
646.962,q,1
648.361, w,1
650.603,q,1
654.8, w,1
658.443, p,1
665.163, o,1
669.64, p,1
671.486,END,0
