time,code,class
24.322, w,1
26.281, p,1
31.602, o,1
38.042, w,1
48.96,q,1
58.76, w,1
59.603,q,1
64.921, w,1
72.202, o,1
80.602,q,1
88.724, w,1
97.402, o,1
100.76, p,1
104.682, w,1
105.52,q,1
114.202, w,1
117.281, o,1
122.601, p,1
125.404,q,1
135.203, w,1
140.804,q,1
141.923, p,1
148.643, o,1
152.002, p,1
158.72,q,1
168.8, w,1
172.162,q,1
175.241, p,1
177.204,q,1
178.603, p,1
193.443,q,1
211.923, p,1
213.884,q,1
217.242, p,1
231.281,q,1
242.483, p,1
243.882,q,1
258.162, p,1
259.561,q,1
265.721, p,1
277.48,q,1
614.84, w,1
619.602,q,1
621.283, w,1
632.802,q,1
637.282, w,1
638.121,q,1
643.72, w,1
644.281, o,1
645.12, p,1
647.92, o,1
651, p,1
654.643, o,1
659.002,END,0
