time,code,class
2.462,w,1
48.74,q,1
49.147,w,1
49.94,q,1
50.342,w,1
51.141,q,1
52.34,w,1
53.54,q,1
54.74,w,1
55.542,q,1
109.143,w,1
118.54,q,1
157.623,w,1
183.661,q,1
204.747,w,1
210.985,q,1
237.029,w,1
242.22,q,1
245.862,w,1
252.623,q,1
263.541,w,1
278.1,q,1
284.862,w,1
298.383,q,1
306.18,w,1
307.74,q,1
321.26,w,1
322.3,q,1
326.469,w,1
344.667,q,1
348.823,w,1
349.867,q,1
355.07,w,1
356.62,q,1
357.663,w,1
363.386,q,1
367.02,w,1
368.06,q,1
381.062,w,1
381.585,q,1
386.267,w,1
392.5,q,1
394.066,w,1
397.707,o,1
401.343,p,1
405.505,o,1
412.261,w,1
430.462,q,1
436.707,w,1
440.861,q,1
441.383,w,1
443.981,q,1
450.743,w,1
451.261,q,1
458.54,w,1
466.34,q,1
468.94,w,1
471.022,q,1
477.262,w,1
477.785,q,1
483.502,w,1
509.503,q,1
519.027,p,1
532.544,o,1
537.741,w,1
547.625,q,1
548.662,w,1
554.904,q,1
562.704,w,1
563.223,q,1
567.386,w,1
568.941,q,1
569.98,w,1
569.668,q,1
570.184,w,1
590.987,q,1
598.342,w,1
607.182,o,1
608.22,w,1
614.463,o,1
622.26,p,1
626.421,o,1
629.027,w,1
631.62,o,1
636.304,p,1
637.347,o,1
639.982,w,1
646.741,o,1
647.26,p,1
653.121,o,1
656.806,w,1
658.632,END,0
