time,code,class
36.822,w,1
50.341,q,1
52.941,w,1
73.225,q,1
83.101,w,1
119.588,q,1
125.343,w,1
167.587,q,1
173.347,w,1
184.865,o,1
193.546,w,1
194.821,q,1
200.584,w,1
208.264,q,1
212.108,w,1
214.021,p,1
221.591,q,1
233.74,w,1
240.78,q,1
242.701,w,1
252.942,p,1
257.421,o,1
259.981,q,1
268.343,w,1
272.186,q,1
376.662,w,1
378.581,q,1
490.585,p,1
497.021,w,1
487.541,q,1
490.55,p,1
496.982,w,1
509.182,q,1
513.342,w,1
514.904,o,1
515.943,p,1
518.542,w,1
521.664,q,1
525.824,p,1
531.54,q,1
537.79,w,1
540.907,o,1
542.5,w,1
544.581,o,1
546.666,w,1
549.263,o,1
552.383,p,1
556.021,o,1
559.665,p,1
564.867,q,1
565.905,w,1
580.982,q,1
586.71,w,1
594.502,o,1
597.62,p,1
601.784,o,1
603.343,w,1
605.941,q,1
609.061,w,1
609.588,o,1
611.663,p,1
625.828,o,1
632.623,w,1
641.468,o,1
642.508,p,1
650.302,o,1
654.931,w,1
662.307,END,0
