time,code,class
49.187,q,1
78.782,w,1
81.186,q,1
93.627,p,1
96.063,q,1
105.265,p,1
106.467,q,1
107.661,p,1
112.863,q,1
122.065,p,1
123.266,q,1
130.46,p,1
132.061,q,1
137.303,p,1
140.501,q,1
144.9,p,1
146.103,q,1
152.1,p,1
153.702,q,1
159.702,p,1
161.304,q,1
167.706,p,1
169.301,q,1
177.302,p,1
180.105,q,1
190.906,p,1
192.906,q,1
200.266,p,1
202.662,q,1
209.86,p,1
211.461,q,1
219.062,p,1
220.26,q,1
226.266,p,1
227.462,q,1
234.745,p,1
239.94,q,1
246.746,p,1
250.743,q,1
259.542,p,1
260.745,q,1
265.143,p,1
267.54,q,1
274.34,p,1
276.746,q,1
287.301,p,1
288.863,q,1
313.904,p,1
315.461,q,1
324.306,p,1
325.861,q,1
333.908,p,1
340.669,q,1
345.35,p,1
352.101,q,1
387.981,p,1
393.707,o,1
395.262,p,1
399.423,q,1
643.744,w,1
646.342,p,1
657.78,q,1
659.347,p,1
673.38,q,1
674.941,p,1
704.823,END,0
