time,code,class
2.225,o,1
48.065,w,1
60.021,q,1
61.061,w,1
64.183,q,1
69.901,w,1
82.381,q,1
95.906,w,1
123.981,q,1
130.741,w,1
155.184,q,1
165.587,w,1
169.221,q,1
170.262,w,1
178.582,o,1
180.662,p,1
182.228,o,1
184.829,w,1
185.866,q,1
200.983,w,1
204.103,q,1
207.224,w,1
209.821,q,1
211.382,w,1
215.021,o,1
216.142,p,1
217.184,o,1
218.221,p,1
220.301,o,1
224.987,q,1
236.423,w,1
237.986,q,1
245.787,w,1
251.504,o,1
253.586,w,1
257.222,q,1
267.107,w,1
276.026,o,1
278.107,p,1
284.341,q,1
307.228,p,1
314.546,q,1
326.507,w,1
328.58,q,1
333.268,w,1
340.025,q,1
346.267,w,1
347.303,q,1
357.861,p,1
366.701,q,1
370.345,p,1
385.461,o,1
387.021,w,1
392.224,q,1
400.542,w,1
404.707,q,1
410.426,w,1
411.981,q,1
423.944,p,1
431.746,q,1
432.785,p,1
435.427,q,1
442.182,p,1
453.625,q,1
455.704,p,1
457.265,q,1
464.343,p,1
473.181,q,1
495.546,w,1
498.141,q,1
510.109,p,1
526.942,w,1
532.144,q,1
572.901,w,1
576.026,q,1
577.586,p,1
584.342,o,1
587.465,w,1
591.708,q,1
612.504,p,1
620.821,q,1
625.501,p,1
633.821,q,1
651.503,p,1
655.143,q,1
671.301,p,1
681.285,q,1
684.948,p,1
686.186,END,0
