time,code,class
0.424,w,1
55.664,q,1
79.269,w,1
87.066,q,1
89.145,w,1
97.987,q,1
101.62,w,1
116.181,q,1
117.749,w,1
120.9,o,1
122.98,w,1
124.02,q,1
141.341,w,1
143.949,q,1
157.982,w,1
175.22,q,1
195.501,w,1
196.546,q,1
207.462,w,1
210.586,q,1
238.143,w,1
239.701,q,1
261.627,w,1
269.944,q,1
273.586,w,1
279.302,q,1
301.664,p,1
305.303,o,1
306.865,w,1
308.423,q,1
331.98,w,1
333.548,q,1
335.104,w,1
345.501,q,1
357.98,w,1
365.781,q,1
379.427,w,1
389.306,q,1
416.862,w,1
417.39,q,1
422.068,w,1
424.665,q,1
453.781,w,1
458.984,q,1
465.747,w,1
517.268,q,1
542.747,w,1
551.061,q,1
553.664,w,1
575.504,q,1
583.306,w,1
589.02,q,1
622.385,w,1
625.507,q,1
627.587,w,1
631.746,q,1
649.414,END,0
