time,code,class
0.824,o,1
70.141,w,1
83.821,q,1
84.347,w,1
93.706,q,1
94.75,p,1
95.785,q,1
118.35,w,1
119.386,q,1
123.549,w,1
128.225,q,1
142.781,w,1
146.949,q,1
148.508,w,1
150.067,q,1
151.666,o,1
153.744,w,1
153.744,q,1
158.943,p,1
168.307,o,1
170.102,p,1
171.669,q,1
191.945,p,1
201.342,q,1
247.109,w,1
248.145,q,1
248.661,p,1
249.705,q,1
255.427,p,1
279.906,q,1
280.942,p,1
321.025,q,1
324.66,p,1
373.941,o,1
374.473,p,1
417.664,q,1
433.82,p,1
441.101,q,1
460.863,p,1
462.426,q,1
493.101,p,1
496.748,q,1
521.223,p,1
523.824,q,1
540.502,p,1
542.066,q,1
556.1,p,1
564.42,q,1
579.502,p,1
585.747,q,1
590.944,p,1
592.501,q,1
621.665,p,1
625.305,q,1
631.029,p,1
639.345,q,1
650.784,p,1
659.623,q,1
662.223,p,1
674.186,q,1
676.263,p,1
682.202,q,1
692.024,END,0
