time,code,class
46.68,w,1
51.16,q,1
60.4,w,1
62.081,q,1
141.56,w,1
143.642,q,1
172.6,w,1
174.842,q,1
215.001,w,1
218.522,q,1
268.281,w,1
282.281,q,1
282.961,w,1
286.961,q,1
290.322,w,1
293.682,q,1
295.763,w,1
301.361,q,1
373.24,w,1
431.245,q,1
446.363,p,1
454.28,w,1
456.8,q,1
514.601,p,1
516.28,o,1
517.48,w,1
517.84,q,1
524.401,w,1
562.6,q,1
595.36,p,1
595.84,o,1
596.2,w,1
596.92,q,1
630.88,w,1
636.4,q,1
658.64,w,1
660.32,q,1
669.56,p,1
678.44,q,1
683.72,w,1
687.68,q,1
695.68,END,0
