time,code,class
34.682,o,1
40.282,w,1
45.722,q,1
47.003,w,1
56.121,q,1
58.362,w,1
62.16,o,1
62.642,w,1
67.801,q,1
71.321,w,1
75.8,q,1
78.682,w,1
113.082,q,1
114.722,w,1
122.721,q,1
131.484,w,1
132.88,q,1
141.283,w,1
143.521,q,1
146.6,w,1
148,q,1
148.841,p,1
160.682,q,1
162.92,w,1
169.081,q,1
184.2,w,1
204.723,p,1
212.88,o,1
216.522,w,1
219.561,q,1
220.801,w,1
223.361,q,1
226.88,w,1
229.281,q,1
235.921,p,1
246.282,q,1
264.681,w,1
266.6,q,1
270.762,p,1
282.44,q,1
288.201,w,1
291.881,q,1
302.641,w,1
306,q,1
309.681,w,1
311.122,p,1
317.361,q,1
326.2,w,1
327.88,p,1
334.32,q,1
345.52,w,1
346.64,p,1
354.48,q,1
366.24,w,1
373.801,q,1
377.721,w,1
379.68,p,1
386.44,q,1
398.2,w,1
400.721,p,1
409.121,q,1
420.482,w,1
427.56,q,1
461.721,p,1
470.121,q,1
478.241,w,1
479.081,q,1
496.601,p,1
497.441,q,1
511.761,p,1
520.441,q,1
527.72,w,1
533.321,q,1
544.52,p,1
555.44,q,1
569.641,p,1
583.36,q,1
599.6,w,1
608,q,1
615.003,p,1
636.001,o,1
638.52,w,1
640.201,q,1
645.8,w,1
656.72,o,1
660.641,p,1
670.721,o,1
672.122,w,1
672.96,q,1
676.601,w,1
679.521,END,0
