time,code,class
35.321,w,1
48.04,q,1
48.56,w,1
49.56,q,1
49.8,w,1
50.6,q,1
51.72,w,1
53.38,q,1
53.7,w,1
55.3,q,1
109.021,w,1
118.02,q,1
156.541,w,1
183.661,q,1
201.06,w,1
210.02,q,1
230.86,w,1
232.26,q,1
235.621,w,1
241.54,q,1
244.62,w,1
251.901,q,1
262.781,w,1
277.621,q,1
284.061,w,1
297.781,q,1
320.661,w,1
321.82,q,1
325.741,w,1
343.94,q,1
346.18,w,1
349.54,q,1
353.702,w,1
362.621,q,1
373.541,w,1
375.221,q,1
385.381,w,1
396.903,o,1
400.261,p,1
405.02,o,1
411.621,w,1
429.9,q,1
436.781,w,1
439.54,q,1
440.623,w,1
443.7,q,1
449.58,w,1
450.42,q,1
457.42,w,1
464.981,q,1
467.22,w,1
470.021,q,1
482.661,w,1
505.941,q,1
518.541,p,1
531.141,o,1
537.021,w,1
554.42,q,1
560.3,w,1
562.82,q,1
566.461,w,1
568.14,q,1
568.981,w,1
590.181,q,1
594.382,w,1
606.7,o,1
607.821,w,1
613.421,w,1
621.421,p,1
626.18,o,1
628.981,w,1
630.66,o,1
634.02,p,1
636.54,o,1
639.341,w,1
645.821,o,1
647.221,p,1
651.981,o,1
656.461,w,1
658.35,END,0
