time,code,class
16.001,w,1
54.921,q,1
82.48,w,1
97.36,q,1
101.04,w,1
120.401,o,1
122.321,w,1
123.921,q,1
140.521,w,1
143.121,q,1
157.04,w,1
174.961,q,1
195.161,w,1
196.281,q,1
206.841,w,1
210.361,q,1
260.321,w,1
269.401,q,1
273.721,w,1
279.321,q,1
301.401,p,1
304.921,o,1
306.361,w,1
307.641,q,1
334.76,w,1
345.161,q,1
357.841,w,1
367.281,q,1
378.842,w,1
386.042,q,1
401.082,w,1
402.281,q,1
416.041,w,1
417.323,q,1
420.041,w,1
420.362,q,1
453.04,w,1
458.921,q,1
465.36,w,1
511.68,q,1
542.76,w,1
550.24,q,1
552.761,w,1
574.52,q,1
582.641,w,1
588.52,q,1
647.72,END,0
