time,code,class
42.564,q,1
63.562,w,1
66.363,q,1
73.643,w,1
77.281,q,1
80.923,w,1
96.042,q,1
122.482,w,1
154.127,q,1
166.485,w,1
191.72,q,1
207.682,w,1
230.88,q,1
237.881,w,1
240.405,q,1
242.362,w,1
246.564,q,1
249.642,p,1
254.963,o,1
255.521,p,1
259.444,o,1
263.641,w,1
272.087,q,1
293.363,w,1
299.244,q,1
323.044,w,1
330.881,q,1
348.725,w,1
352.087,q,1
355.726,w,1
358.521,q,1
361.042,w,1
393.521,q,1
411.161,o,1
412.28,p,1
418.163,o,1
418.721,p,1
421.245,o,1
424.322,w,1
432.842,q,1
438.162,w,1
439.561,q,1
468.963,w,1
470.123,q,1
472.645,w,1
473.761,o,1
475.721,w,1
482.448,q,1
500.084,p,1
501.486,o,1
502.602,w,1
503.72,o,1
507.082,p,1
509.047,q,1
511.562,p,1
535.921,q,1
548.803,p,1
559.937,q,1
565.242,p,1
566.644,q,1
568.605,p,1
571.122,q,1
582.323,p,1
594.642,q,1
596.88,p,1
599.122,q,1
602.204,p,1
603.04,q,1
606.963,p,1
608.082,q,1
623.762,p,1
624.366,q,1
663.561,p,1
664.963,q,1
671.122,p,1
671.965,q,1
694.086,END,0
