time,code,class
7.58,w,1
46.945,q,1
51.42,p,1
53.144,w,1
56.782,q,1
89.66,w,1
97.78,q,1
125.504,w,1
129.421,q,1
151.821,w,1
157.145,q,1
161.065,w,1
162.182,q,1
191.065,w,1
191.62,q,1
195.82,w,1
208.265,q,1
229.544,w,1
230.661,q,1
336.54,p,1
341.58,q,1
346.06,p,1
349.142,o,1
350.82,p,1
362.705,w,1
366.62,p,1
386.741,q,1
389.261,p,1
406.903,q,1
408.86,o,1
409.981,p,1
426.78,q,1
429.021,w,1
433.781,q,1
437.981,p,1
458.702,q,1
460.664,p,1
482.302,q,1
496.58,p,1
501.9,q,1
527.381,p,1
529.34,q,1
531.301,p,1
536.901,q,1
570.263,p,1
573.345,q,1
587.903,p,1
621.704,o,1
634.02,p,1
652.301,q,1
653.864,w,1
657.225,q,1
663.625,END,0
