time,code,class
14.581,w,1
55.22,q,1
83.1,w,1
86.742,q,1
87.864,w,1
97.66,q,1
100.745,w,1
121.142,o,1
122.825,w,1
124.221,q,1
141.021,w,1
143.824,q,1
157.263,w,1
175.463,q,1
207.421,w,1
210.501,q,1
260.38,w,1
269.902,q,1
273.541,w,1
279.985,q,1
301.941,p,1
305.1,o,1
306.504,w,1
307.904,q,1
335.024,w,1
345.945,q,1
358.302,w,1
390.22,q,1
416.265,w,1
417.66,q,1
420.185,w,1
420.741,q,1
421.86,w,1
423.261,q,1
453.742,w,1
459.062,q,1
466.02,w,1
514.381,q,1
544.421,w,1
551.744,q,1
552.984,w,1
577.34,q,1
583.221,w,1
589.1,q,1
621.944,w,1
632.1,q,1
649.844,END,0
