time,code,class
58.303,o,1
69.705,w,1
90.141,q,1
94.061,p,1
95.103,q,1
118.62,w,1
119.74,q,1
123.224,w,1
127.7,q,1
143.38,w,1
147.024,q,1
148.141,w,1
149.822,q,1
150.94,w,1
151.5,o,1
152.224,w,1
153.064,q,1
158.941,p,1
168.743,o,1
169.583,p,1
171.541,q,1
191.701,p,1
201.465,q,1
246.824,w,1
247.665,p,1
249.62,q,1
255.22,p,1
279.621,q,1
280.74,p,1
320.901,q,1
324.342,p,1
373.02,o,1
374.424,p,1
417.54,q,1
433.78,p,1
441.061,q,1
460.941,p,1
462.34,q,1
492.261,p,1
496.18,q,1
521.14,p,1
523.674,q,1
539.624,p,1
541.58,q,1
555.864,p,1
564.26,q,1
579.103,p,1
585.261,q,1
589.742,p,1
591.984,q,1
621.66,p,1
625.102,q,1
630.702,p,1
639.661,q,1
650.864,p,1
660.38,q,1
661.78,p,1
673.822,q,1
675.501,p,1
681.664,q,1
692.1,END,0
