time,code,class
44.584,q,1
63.343,w,1
66.701,q,1
73.423,w,1
77.621,q,1
80.98,w,1
96.945,q,1
112.903,w,1
113.184,q,1
122.701,w,1
154.342,q,1
165.585,w,1
191.623,q,1
208.184,w,1
231.704,q,1
233.103,w,1
235.901,q,1
238.14,w,1
240.383,q,1
242.34,w,1
246.54,q,1
249.663,p,1
255.265,o,1
255.54,p,1
259.74,o,1
263.664,w,1
269.822,q,1
270.384,w,1
272.345,q,1
293.34,w,1
299.224,q,1
323.343,w,1
330.905,q,1
348.822,w,1
352.183,q,1
356.383,w,1
358.9,q,1
360.862,w,1
393.624,q,1
396.143,w,1
399.22,q,1
411.264,o,1
412.104,p,1
417.983,o,1
418.82,p,1
421.62,o,1
424.422,w,1
432.82,q,1
438.7,w,1
439.82,q,1
469.22,w,1
469.784,q,1
471.18,w,1
471.743,q,1
472.624,w,1
473.743,o,1
475.662,w,1
482.66,q,1
500.582,p,1
501.142,o,1
502.264,w,1
503.662,o,1
507.302,p,1
509.54,q,1
510.384,w,1
510.942,q,1
511.781,p,1
536.184,q,1
549.064,p,1
560.262,q,1
565.581,p,1
566.702,q,1
568.664,p,1
571.184,q,1
582.662,p,1
595.265,q,1
596.942,p,1
599.742,q,1
602.261,p,1
603.664,q,1
607.024,p,1
608.422,q,1
623.823,p,1
624.663,q,1
663.582,p,1
664.704,q,1
671.422,p,1
671.98,q,1
695.209,END,0
