time,code,class
18.522,w,1
27.482,q,1
37.003,w,1
45.121,q,1
46.526,w,1
52.961,q,1
57.162,w,1
63.322,o,1
64.2,w,1
66.163,q,1
67.841,p,1
70.641,o,1
70.961,w,1
71.242,q,1
78.441,w,1
82.441,o,1
84.044,w,1
86.64,q,1
108.325,w,1
113.721,q,1
124.52,w,1
126.922,q,1
130.921,w,1
134.122,o,1
134.924,p,1
137.123,p,1
139.762,o,1
141.561,p,1
142.164,q,1
158.841,w,1
161.842,q,1
188.043,w,1
188.84,q,1
196.242,w,1
198.44,o,1
199.043,p,1
203.839,o,1
205.043,w,1
209.241,q,1
215.841,w,1
218.041,o,1
218.24,p,1
222.442,o,1
223.441,w,1
227.441,q,1
234.44,w,1
235.24,q,1
237.04,w,1
239.24,o,1
239.442,p,1
243.04,o,1
244.042,w,1
247.839,q,1
249.644,w,1
251.879,o,1
252.123,p,1
257.963,o,1
259.16,w,1
263.564,q,1
273.36,w,1
279.762,q,1
280.365,w,1
282.564,o,1
284.162,p,1
288.802,o,1
290.203,p,1
292.402,o,1
294.399,w,1
297.002,o,1
299.401,p,1
302.201,o,1
304,w,1
308.003,q,1
308.841,w,1
312.042,o,1
313.246,p,1
328.083,q,1
362.603,p,1
366.002,q,1
376.245,p,1
379.041,q,1
415.282,w,1
416.283,q,1
488.042,p,1
491.44,o,1
492.244,p,1
494.041,o,1
496.041,w,1
509.84,q,1
532.241,w,1
535.644,o,1
536.64,p,1
540.044,o,1
540.841,w,1
545.441,q,1
550.64,w,1
552.243,o,1
553.24,p,1
555.646,o,1
557.042,w,1
563.241,q,1
567.241,w,1
568.84,o,1
569.442,p,1
573.84,o,1
574.441,p,1
575.242,o,1
576.642,w,1
581.041,q,1
581.64,w,1
583.041,o,1
583.642,p,1
586.441,o,1
586.642,p,1
591.646,o,1
592.84,w,1
594.241,o,1
595.241,p,1
600.243,o,1
600.842,w,1
602.483,o,1
603.08,p,1
608.283,o,1
609.281,w,1
611.082,o,1
611.683,p,1
619.483,o,1
620.68,w,1
622.482,p,1
630.079,o,1
630.883,w,1
632.683,o,1
633.082,p,1
639.483,o,1
640.079,w,1
644.683,o,1
644.883,p,1
651.68,o,1
652.282,w,1
654.282,o,1
654.685,p,1
660.016,o,1
660.235,END,0
