time,code,class
18.362,w,1
18.882,o,1
19.042,p,1
81.401,q,1
83.801,w,1
87.8,q,1
88.12,w,1
98.723,q,1
101.605,w,1
102.402,q,1
104.002,w,1
105.441,q,1
270.202,w,1
280.44,q,1
283.843,w,1
287.482,q,1
313.724,w,1
340.441,q,1
360.921,w,1
374.682,q,1
375.362,p,1
388.484,q,1
396.002,w,1
414.884,q,1
430.282,p,1
430.761,o,1
431.843,w,1
443.042,q,1
445.922,w,1
450.721,q,1
453.121,w,1
463.201,q,1
468.641,p,1
469.761,o,1
470.724,q,1
480.921,w,1
487.16,q,1
500.442,p,1
502.361,q,1
530.32,p,1
531.244,q,1
542.12,p,1
543.284,w,1
544.884,q,1
561.642,w,1
568.04,q,1
596.962,w,1
598.721,q,1
606.882,w,1
617.122,q,1
618.88,p,1
620.48,o,1
621.441,q,1
625.121,w,1
628.481,o,1
629.761,p,1
637.121,o,1
638.561,q,1
645.081,w,1
655.483,q,1
657.082,w,1
661.035,END,0
