time,code,class
46.204,q,1
81.484,w,1
83.162,q,1
84.001,w,1
84.843,q,1
87.4,w,1
87.721,q,1
88.201,p,1
88.523,o,1
88.882,w,1
89.362,q,1
90.162,p,1
90.362,w,1
90.721,q,1
91.203,w,1
91.681,q,1
94.24,w,1
94.401,q,1
95.681,w,1
96.004,q,1
98.241,w,1
99.522,q,1
314.882,w,1
318.561,q,1
322.081,w,1
327.844,q,1
328.921,w,1
330.202,q,1
340.764,w,1
342.362,q,1
390.121,w,1
391.402,q,1
391.722,w,1
394.443,q,1
395.081,w,1
395.242,q,1
422.762,w,1
441.364,o,1
441.842,w,1
443.121,q,1
450.645,w,1
453.841,q,1
457.04,w,1
464.082,o,1
464.924,w,1
465.243,q,1
467.121,w,1
467.441,q,1
471.6,w,1
473.042,q,1
473.842,p,1
486.481,o,1
486.642,w,1
486.962,q,1
487.442,w,1
489.202,q,1
509.523,w,1
510.324,q,1
514.483,p,1
526.961,q,1
527.923,w,1
529.841,q,1
573.043,w,1
580.243,q,1
600.483,w,1
603.523,q,1
609.003,w,1
610.762,q,1
612.203,w,1
634.923,o,1
635.442,w,1
636.722,o,1
641.361,p,1
654.68,q,1
679.362,w,1
682.242,q,1
686.672,END,0
