time,code,class
17.226,w,1
55.84,q,1
83.004,w,1
97.564,q,1
100.925,w,1
120.521,o,1
122.481,w,1
124.161,q,1
140.681,w,1
143.201,q,1
157.201,w,1
175.121,q,1
207.64,w,1
210.44,q,1
265.88,w,1
270.921,q,1
275.12,w,1
279.321,q,1
301.721,p,1
305.08,o,1
306.481,w,1
307.881,q,1
331.681,w,1
332.524,q,1
336.161,w,1
345.68,q,1
358,w,1
366.681,q,1
379.561,w,1
387.121,q,1
416.241,w,1
417.36,q,1
453.761,w,1
458.8,q,1
466.08,w,1
520.4,q,1
543.365,w,1
551.201,q,1
557.081,w,1
576.68,q,1
583.681,w,1
589.84,q,1
649.94,END,0
