time,code,class
70.195,w,1
81.16,q,1
82.001,w,1
90.961,q,1
94.321,p,1
95.72,q,1
123.723,w,1
128.483,q,1
143.041,w,1
146.96,q,1
148.641,w,1
151.164,o,1
152.281,w,1
153.124,q,1
159.281,p,1
169.364,o,1
169.921,p,1
171.881,q,1
191.761,p,1
202.401,q,1
247.56,p,1
250.36,q,1
255.161,p,1
279.559,q,1
280.76,p,1
321.961,q,1
331.959,p,1
417.559,q,1
437.159,p,1
441.161,q,1
461.161,p,1
463.159,q,1
492.359,p,1
497.161,q,1
522.76,p,1
523.56,q,1
539.56,p,1
541.559,q,1
555.559,p,1
564.76,q,1
579.159,p,1
585.559,q,1
589.959,p,1
591.959,q,1
621.56,p,1
625.56,q,1
630.761,p,1
639.559,q,1
650.761,p,1
660.36,q,1
661.961,p,1
674.359,q,1
675.56,p,1
682.761,q,1
692.1,END,0
