time,code,class
22.26, w,1
30.182,q,1
37.181, w,1
53.425,q,1
57.06, w,1
69.359, p,1
73.94,q,1
80.024, w,1
83.061, o,1
85.347, w,1
89.14,q,1
109.664, w,1
114.98,q,1
126.381, w,1
129.424,q,1
131.703, w,1
136.269, o,1
139.304, p,1
140.826, o,1
143.142,q,1
159.86, w,1
163.701,q,1
197.225, w,1
201.783, o,1
203.303, p,1
204.83, o,1
206.385, w,1
210.941,q,1
217.788, w,1
220.06, o,1
221.593, p,1
223.901, o,1
225.425, w,1
228.986,q,1
235.865, w,1
239.661, o,1
241.188, p,1
243.5, o,1
245.026, w,1
248.061,q,1
250.341, w,1
252.62, o,1
254.141, p,1
257.945, o,1
260.226, w,1
264.029,q,1
274.701, w,1
283.061, o,1
285.343, p,1
289.911, o,1
292.224, p,1
294.502, o,1
296.783, w,1
299.821, o,1
301.345, p,1
303.626, o,1
305.902, w,1
308.956,q,1
310.502, w,1
312.785, o,1
315.065, p,1
330.26,q,1
364.503, p,1
368.3,q,1
376.661, p,1
381.223,q,1
417.74, w,1
418.502,q,1
489.46, p,1
494.782, o,1
497.065, w,1
510.228,q,1
533.822, w,1
536.98, o,1
539.263, p,1
540.784, o,1
543.072, w,1
546.9,q,1
551.469, w,1
553.742, o,1
555.261, p,1
556.78, o,1
558.301, w,1
563.62,q,1
568.189, w,1
569.703, o,1
571.223, p,1
575.786, o,1
577.301, w,1
584.15, o,1
585.66, p,1
592.504, o,1
593.26, w,1
595.548, o,1
597.064, p,1
600.867, o,1
601.62, w,1
603.907, o,1
604.663, p,1
608.461, o,1
609.98, w,1
612.268, o,1
613.031, p,1
620.14, o,1
621.661, w,1
623.189, o,1
624.7, p,1
630.021, o,1
630.789, w,1
633.821, o,1
634.588, p,1
639.906, o,1
640.66, w,1
645.99, o,1
647.505, p,1
651.768, o,1
653.608, w,1
659.089, o,1
660.075, p,1
660.125,END,0
