time,code,class
37.425, o,1
42.46, w,1
57.02,q,1
61.784, w,1
62.623, o,1
63.183, w,1
68.542,q,1
70.785, w,1
127.702,q,1
142.941, w,1
146.338,q,1
150.425, p,1
162.708,q,1
186.262, w,1
207.7, p,1
213.863, o,1
217.981, w,1
225.109,q,1
237.31, p,1
247.551,q,1
272.061, p,1
283.188,q,1
311.861, p,1
320.06,q,1
329.22, p,1
338.427,q,1
348.822, p,1
356.03,q,1
370.461, w,1
375.547,q,1
380.663, p,1
387.862,q,1
403.067, p,1
410.265,q,1
422.021, w,1
429.185,q,1
462.509, p,1
470.663,q,1
512.71, p,1
522.985,q,1
531.141, w,1
535.26,q,1
545.508, p,1
556.749,q,1
571.11, p,1
584.391,q,1
600.909, w,1
609.11,q,1
616.669, p,1
641.184, w,1
643.23,q,1
647.3, w,1
658.581, o,1
661.664, p,1
672.082, o,1
674.569, w,1
677.032,q,1
681.78,END,0
