time,code,class
37.62, w,1
49.147,q,1
50.666, w,1
51.421,q,1
54.469, w,1
57.505,q,1
113.421, w,1
121.1,q,1
158.205, w,1
185.064,q,1
205.462, w,1
211.861,q,1
237.503, w,1
245.18,q,1
247.702, w,1
254.101,q,1
264.583, w,1
278.662,q,1
286.342, w,1
299.143,q,1
327.543, w,1
364.91,q,1
389.213, w,1
398.142, o,1
404.544, p,1
408.381, o,1
413.501, w,1
431.743,q,1
458.628, w,1
475.26,q,1
488.07, w,1
511.5,q,1
521.741, p,1
533.386, o,1
539.786, w,1
556.465,q,1
579.505, w,1
614.422, o,1
623.582, p,1
629.989, w,1
633.826, o,1
641.505, w,1
647.909, o,1
652.602, p,1
655.679, o,1
658.697,END,0
