time,code,class
40.884,q,1
46.081,w,1
48.087,q,1
52.485,p,1
54.88,w,1
57.279,q,1
90.082,w,1
98.482,q,1
125.684,w,1
129.681,q,1
151.681,w,1
157.684,q,1
161.281,w,1
162.48,q,1
196.085,w,1
208.88,q,1
336.485,p,1
342.079,q,1
347.281,p,1
349.68,o,1
351.284,p,1
363.285,q,1
365.68,w,1
368.079,p,1
385.279,q,1
389.687,p,1
407.68,q,1
410.48,p,1
427.282,q,1
431.68,w,1
434.48,q,1
437.68,p,1
459.281,q,1
461.681,p,1
482.483,q,1
496.48,p,1
496.88,p,1
501.68,q,1
527.281,p,1
537.281,q,1
570.079,p,1
574.081,q,1
588.079,p,1
622.085,o,1
634.479,p,1
653.279,q,1
663.411,END,0
