time,code,class
62.321,q,1
64.321,w,1
80.324,q,1
111.523,w,1
114.727,q,1
135.525,w,1
137.523,q,1
201.119,w,1
223.523,q,1
239.927,w,1
256.322,o,1
259.122,w,1
259.523,q,1
265.121,w,1
266.324,o,1
266.724,p,1
281.921,o,1
285.521,q,1
295.521,w,1
302.321,q,1
303.92,w,1
304.721,o,1
306.32,p,1
318.321,q,1
328.321,w,1
342.321,q,1
345.125,p,1
346.32,o,1
347.122,p,1
373.92,q,1
408.721,w,1
415.527,q,1
430.321,w,1
432.721,q,1
452.719,p,1
468.321,q,1
472.724,p,1
486.32,q,1
501.122,p,1
502.719,q,1
505.926,p,1
513.521,q,1
514.719,p,1
517.521,q,1
519.922,p,1
532.719,q,1
573.119,p,1
576.32,q,1
578.321,p,1
581.521,q,1
584.719,w,1
586.326,q,1
588.722,p,1
622.321,q,1
628.722,w,1
629.123,w,1
637.12,q,1
659.12,p,1
665.119,w,1
666.719,q,1
681.339,END,0
