time,code,class
39.202,w,1
43.205,q,1
46.803,w,1
54.402,q,1
66.006,w,1
66.805,q,1
131.6,w,1
134.402,q,1
143.202,w,1
144.8,q,1
152.401,p,1
155.199,o,1
157.599,w,1
158.8,q,1
182.407,w,1
183.599,o,1
187.602,q,1
360.365,o,1
365.921,w,1
370.206,q,1
452.56,p,1
454.241,q,1
462.362,p,1
464.447,q,1
465.719,p,1
475.602,q,1
483.248,p,1
496.48,q,1
502.959,p,1
528.12,q,1
547.288,p,1
548.565,q,1
558.366,p,1
569.447,q,1
574.6,p,1
586.48,q,1
589.921,p,1
601.445,q,1
606.205,p,1
608.283,q,1
623.684,p,1
635.639,q,1
638.203,p,1
653.241,q,1
664.805,p,1
668.685,q,1
675.081,p,1
676.805,q,1
682.103,END,0
