time,code,class
62.76,w,1
68.88,q,1
89.56,w,1
114.083,q,1
137.682,w,1
144.481,q,1
149.684,w,1
159.681,q,1
176.08,w,1
182.88,q,1
196.879,o,1
197.682,w,1
200.08,q,1
216.885,w,1
218.482,q,1
233.685,w,1
262.482,o,1
268.879,w,1
269.684,q,1
299.681,o,1
300.485,p,1
304.88,w,1
319.684,o,1
322.484,p,1
329.281,o,1
330.482,p,1
332.08,q,1
380.481,w,1
382.883,q,1
387.281,w,1
393.679,o,1
394.481,p,1
398.085,o,1
400.882,w,1
406.883,q,1
409.679,w,1
416.479,q,1
432.879,o,1
433.681,p,1
440.079,o,1
443.281,w,1
454.08,q,1
468.88,w,1
473.681,q,1
485.681,w,1
488.083,o,1
488.88,p,1
496.083,o,1
500.879,w,1
503.286,q,1
517.28,w,1
519.679,o,1
520.479,p,1
527.679,o,1
528.481,p,1
533.28,o,1
539.281,w,1
551.284,q,1
564.481,o,1
565.681,p,1
574.879,q,1
591.684,p,1
600.079,q,1
633.281,p,1
648.879,q,1
650.479,w,1
660.08,o,1
661.281,p,1
668.88,w,1
676.481,q,1
685.679,p,1
697.093,END,0
