time,code,class
38.561,w,1
53.759,q,1
55.762,w,1
56.559,q,1
110.561,w,1
118.559,q,1
158.965,w,1
183.761,q,1
203.759,w,1
210.959,q,1
237.767,q,1
239.36,w,1
243.759,q,1
246.161,w,1
252.161,q,1
264.167,w,1
278.16,q,1
285.761,w,1
297.759,q,1
327.759,w,1
344.559,q,1
349.759,w,1
350.561,q,1
355.361,w,1
363.762,q,1
374.96,w,1
375.759,q,1
387.761,w,1
397.765,o,1
401.759,p,1
409.36,o,1
412.16,q,1
413.761,w,1
445.36,q,1
458.561,q,1
459.36,w,1
474.16,q,1
483.361,w,1
511.759,q,1
519.361,p,1
532.561,o,1
537.761,w,1
554.96,q,1
562.559,w,1
563.761,q,1
566.959,w,1
592.96,q,1
598.163,w,1
607.363,o,1
608.565,w,1
614.559,o,1
622.16,p,1
626.96,o,1
629.361,w,1
631.361,o,1
634.96,p,1
637.361,o,1
639.761,w,1
646.161,p,1
652.959,o,1
656.962,w,1
659.053,END,0
659.053,p,1
