time,code,class
48.861,q,1
81.701,w,1
83.3,q,1
83.78,w,1
84.582,q,1
87.46,w,1
87.94,q,1
88.261,p,1
88.583,o,1
88.9,w,1
89.382,q,1
90.021,p,1
90.34,o,1
90.502,w,1
90.821,q,1
91.302,w,1
91.622,q,1
94.341,w,1
94.821,q,1
95.942,w,1
96.102,q,1
98.181,w,1
99.621,q,1
237.147,w,1
238.7,q,1
315.181,w,1
319.344,q,1
325.22,w,1
327.741,q,1
329.141,w,1
330.264,q,1
331.941,w,1
332.223,q,1
341.18,w,1
342.864,q,1
390.667,w,1
395.664,q,1
422.821,w,1
441.865,o,1
442.424,w,1
443.263,q,1
450.82,w,1
454.18,q,1
458.384,w,1
464.261,o,1
465.38,w,1
465.661,q,1
467.34,w,1
468.181,q,1
474.062,p,1
486.943,q,1
487.78,w,1
489.461,q,1
509.62,w,1
511.102,q,1
515.024,p,1
527.061,q,1
528.18,w,1
530.141,q,1
573.26,w,1
580.341,q,1
612.623,w,1
635.581,o,1
635.861,w,1
637.26,o,1
641.46,p,1
654.904,q,1
658.861,w,1
659.142,q,1
679.655,w,1
683.326,q,1
686.674,END,0
