time,code,class
44.101,w,1
46.621,q,1
51.103,p,1
53.062,w,1
56.701,q,1
59.503,w,1
59.784,q,1
74.341,p,1
74.901,q,1
86.102,w,1
86.66,q,1
89.18,w,1
97.582,q,1
124.461,w,1
129.22,q,1
151.623,w,1
156.944,q,1
160.302,w,1
161.702,q,1
188.861,w,1
191.384,q,1
195.862,w,1
208.22,q,1
229.265,w,1
230.383,q,1
336.263,p,1
341.581,q,1
345.781,p,1
349.14,o,1
350.543,p,1
362.022,q,1
363.42,w,1
366.782,p,1
384.701,q,1
388.9,p,1
406.861,q,1
408.544,o,1
409.66,p,1
427.447,q,1
428.861,w,1
433.06,q,1
437.261,p,1
458.822,q,1
460.5,p,1
481.781,q,1
496.423,p,1
501.18,q,1
526.9,p,1
529.703,q,1
531.1,p,1
536.504,q,1
569.902,p,1
572.981,q,1
588.101,p,1
590.34,q,1
591.181,p,1
621.381,o,1
633.981,p,1
652.462,q,1
653.967,w,1
656.413,q,1
663.66,END,0
