time,code,class
34.224,o,1
40.385,w,1
45.984,q,1
46.82,w,1
56.343,q,1
58.303,w,1
59.701,q,1
61.381,w,1
62.5,o,1
63.345,w,1
65.581,q,1
66.141,w,1
67.82,q,1
70.901,w,1
75.94,q,1
78.461,w,1
87.14,q,1
88.821,w,1
95.541,q,1
96.661,w,1
98.876,q,1
99.98,w,1
113.061,q,1
114.181,w,1
116.981,o,1
117.58,w,1
122.62,q,1
131.58,w,1
133.262,q,1
141.105,w,1
143.622,q,1
146.703,w,1
147.823,q,1
148.66,p,1
161.262,q,1
162.94,w,1
166.86,q,1
168.261,w,1
168.821,q,1
180.025,w,1
180.3,q,1
184.223,w,1
199.341,q,1
199.62,w,1
202.143,q,1
203.821,w,1
205.221,p,1
213.34,o,1
216.701,w,1
219.502,q,1
221.181,w,1
223.141,q,1
226.785,w,1
228.743,q,1
235.181,w,1
236.021,p,1
246.943,q,1
264.58,w,1
266.545,q,1
271.025,p,1
282.501,q,1
288.103,w,1
292.021,q,1
294.821,w,1
295.66,q,1
302.662,w,1
306.022,q,1
308.541,w,1
311.344,p,1
317.781,q,1
326.3,w,1
327.703,p,1
334.7,q,1
345.341,w,1
347.02,p,1
354.58,q,1
366.061,w,1
373.901,q,1
377.264,w,1
378.942,q,1
379.822,p,1
386.54,q,1
398.301,w,1
400.26,q,1
400.821,p,1
409.22,q,1
415.102,w,1
415.942,q,1
420.141,w,1
424.902,q,1
425.463,w,1
427.421,q,1
436.101,w,1
437.224,q,1
438.06,w,1
438.902,q,1
461.86,p,1
470.263,q,1
478.101,w,1
479.222,q,1
492.061,w,1
492.623,q,1
494.9,w,1
495.742,q,1
496.582,p,1
498.221,q,1
511.745,p,1
520.464,q,1
528.225,w,1
532.981,q,1
545.022,p,1
555.664,q,1
568.261,w,1
569.661,p,1
583.663,q,1
595.141,w,1
596.541,q,1
598.78,w,1
604.661,q,1
607.463,w,1
607.743,q,1
614.461,p,1
636.021,o,1
638.581,w,1
640.821,q,1
646.15,w,1
657.623,o,1
660.981,p,1
670.783,o,1
672.086,w,1
673.301,q,1
676.663,w,1
681.78,END,0
