time,code,class
38.47,w,1
48.386,q,1
49.423,w,1
50.462,q,1
51.783,w,1
53.381,q,1
53.862,w,1
55.301,q,1
109.665,w,1
119.025,q,1
156.621,w,1
184.188,q,1
201.348,w,1
210.941,q,1
230.7,w,1
232.786,q,1
236.068,w,1
241.782,q,1
245.942,w,1
252.188,q,1
263.628,w,1
278.313,q,1
284.545,w,1
297.54,q,1
305.345,w,1
307.421,q,1
320.947,w,1
322.507,q,1
326.14,w,1
344.468,q,1
346.547,w,1
350.181,q,1
354.342,w,1
356.423,q,1
357.469,w,1
363.704,q,1
374.104,w,1
375.663,q,1
380.865,w,1
381.38,q,1
386.062,w,1
391.787,q,1
395.429,w,1
398.021,o,1
401.145,p,1
405.312,o,1
412.11,w,1
420.942,q,1
421.981,w,1
429.78,q,1
435.501,w,1
440.7,q,1
441.747,w,1
444.341,q,1
450.067,w,1
451.1,q,1
458.383,w,1
463.066,q,1
467.22,w,1
471.38,q,1
471.902,w,1
472.946,q,1
476.581,w,1
477.623,q,1
483.901,w,1
506.268,q,1
518.741,p,1
531.742,o,1
537.464,w,1
546.83,q,1
547.861,w,1
555.146,q,1
560.868,w,1
563.462,q,1
567.1,w,1
568.666,q,1
569.707,w,1
571.78,q,1
573.346,w,1
581.263,q,1
582.302,w,1
590.622,q,1
594.783,w,1
606.742,o,1
607.785,w,1
614.024,o,1
621.82,p,1
627.02,o,1
629.629,w,1
631.182,o,1
634.82,p,1
636.909,o,1
640.021,w,1
646.788,o,1
649.652,p,1
652.694,o,1
656.962,w,1
658.789,END,0
