time,code,class
20.107,o,1
21.82,w,1
30.18,q,1
31.865,w,1
32.703,o,1
34.941,w,1
46.425,o,1
53.701,q,1
55.661,w,1
57.345,q,1
57.903,w,1
60.704,q,1
61.261,o,1
62.384,p,1
64.06,o,1
66.301,w,1
69.661,q,1
74.982,w,1
81.664,q,1
85.583,w,1
91.465,o,1
93.14,p,1
93.985,q,1
105.382,w,1
105.941,p,1
110.145,q,1
125.383,w,1
126.222,q,1
131.505,w,1
132.354,q,1
137.104,p,1
141.02,q,1
142.421,w,1
144.383,q,1
149.902,w,1
151.585,o,1
152.705,p,1
158.261,q,1
160.221,w,1
161.065,q,1
168.025,p,1
168.861,o,1
169.425,w,1
170.544,q,1
180.585,p,1
182.824,q,1
192.341,p,1
195.141,q,1
202.42,p,1
207.985,q,1
221.785,p,1
227.623,q,1
233.505,p,1
239.583,q,1
264.584,p,1
269.624,q,1
355.945,p,1
357.621,q,1
380.305,o,1
381.705,p,1
385.9,q,1
397.022,w,1
400.105,q,1
409.26,w,1
409.543,o,1
411.223,p,1
412.905,q,1
421.263,p,1
429.625,q,1
438.505,p,1
439.62,q,1
447.145,p,1
456.905,q,1
458.025,w,1
468.945,o,1
471.465,p,1
481.144,q,1
482.82,p,1
491.181,q,1
494.863,p,1
499.303,o,1
501.265,q,1
502.104,w,1
508.261,p,1
512.421,q,1
521.065,p,1
526.86,q,1
541.025,w,1
545.504,o,1
546.345,p,1
549.985,q,1
560.581,w,1
561.425,q,1
583.62,p,1
591.985,q,1
596.74,p,1
604.264,q,1
670.957,p,1
674.643,END,0
