time,code,class
21.181,p,1
81.864,q,1
84.024,w,1
98.62,q,1
272.38,w,1
280.824,q,1
286.702,w,1
287.82,q,1
314.343,w,1
341.021,q,1
364.304,w,1
375.861,p,1
388.864,q,1
396.505,w,1
415.585,q,1
430.662,p,1
431.225,o,1
432.625,w,1
444.024,q,1
446.542,w,1
451.305,q,1
453.82,w,1
463.621,q,1
468.941,p,1
471.185,q,1
481.385,w,1
487.262,q,1
500.865,p,1
502.541,q,1
542.821,p,1
544.225,w,1
545.102,q,1
566.901,w,1
568.303,q,1
597.944,w,1
599.065,q,1
607.26,w,1
618.584,q,1
619.424,p,1
620.542,o,1
621.664,w,1
623.623,q,1
625.581,w,1
628.663,o,1
630.62,p,1
637.424,o,1
639.661,q,1
646.421,w,1
656.349,q,1
657.572,w,1
661.033,END,0
