time,code,class
58.623,w,1
79.622,q,1
113.581,w,1
114.425,q,1
201.18,w,1
224.18,q,1
239.223,w,1
247.82,p,1
251.701,w,1
256.663,o,1
258.065,w,1
258.065,q,1
263.665,w,1
265.903,o,1
267.02,p,1
281.502,q,1
283.18,w,1
284.58,q,1
295.703,w,1
299.864,q,1
301.265,w,1
304.945,o,1
305.505,p,1
317.704,q,1
327.341,w,1
342.021,q,1
344.545,p,1
345.662,o,1
346.225,p,1
370.504,o,1
371.625,w,1
372.185,q,1
408.704,w,1
415.625,q,1
454.625,p,1
468.142,q,1
473.102,p,1
485.944,q,1
505.824,p,1
519.345,q,1
520.18,p,1
534.983,q,1
574.501,p,1
575.905,q,1
585.58,w,1
586.145,q,1
586.981,o,1
587.823,p,1
606.343,q,1
607.182,p,1
622.741,q,1
624.145,w,1
625.263,q,1
629.423,w,1
636.423,q,1
654.943,w,1
655.782,q,1
660.221,p,1
663.06,o,1
664.181,w,1
666.704,q,1
681.58,END,0
