time,code,class
44.784,w,1
47.305,q,1
53.46,w,1
57.101,q,1
90.86,w,1
97.545,q,1
125.665,w,1
130.061,q,1
153.265,w,1
157.465,q,1
196.216,w,1
208.661,q,1
337.025,p,1
341.5,q,1
345.941,p,1
362.144,q,1
363.544,w,1
367.18,p,1
386.065,q,1
389.142,p,1
407.184,q,1
409.423,o,1
409.985,p,1
426.825,q,1
429.343,w,1
433.825,q,1
438.823,p,1
458.985,q,1
460.662,p,1
484.145,q,1
497.703,p,1
502.102,q,1
527.224,p,1
536.624,q,1
570.464,p,1
574.625,q,1
588.425,p,1
621.664,o,1
634.221,p,1
654.388,q,1
655,w,1
656.221,q,1
665.076,END,0
