time,code,class
61.98,q,1
65.344,w,1
66.18,q,1
66.744,w,1
70.382,q,1
87.343,w,1
89.021,q,1
90.42,w,1
96.585,q,1
101.583,w,1
102.42,q,1
103.265,w,1
113.221,q,1
113.784,w,1
114.621,q,1
137.863,w,1
139.785,q,1
141.062,w,1
141.702,q,1
143.941,w,1
146.823,q,1
148.426,w,1
159.621,q,1
176.266,w,1
178.823,q,1
196.263,o,1
197.06,w,1
199.944,q,1
215.747,w,1
218.143,q,1
219.741,w,1
220.141,q,1
233.584,w,1
262.107,o,1
268.101,w,1
269.3,q,1
275.141,w,1
277.143,q,1
298.067,p,1
302.462,o,1
304.1,w,1
319.541,o,1
322.341,p,1
331.943,q,1
361.545,w,1
363.948,q,1
380.148,w,1
395.588,p,1
400.607,o,1
401.027,w,1
406.622,q,1
412.462,w,1
416.95,q,1
432.18,o,1
433.381,p,1
439.782,o,1
443.388,w,1
453.782,q,1
469.666,w,1
471.661,q,1
475.261,w,1
476.866,q,1
484.307,w,1
487.5,o,1
488.705,p,1
492.308,o,1
493.506,p,1
494.703,o,1
501.303,w,1
511.54,q,1
518.941,w,1
519.74,o,1
520.948,p,1
523.748,o,1
524.946,p,1
526.942,o,1
528.545,p,1
533.345,o,1
538.94,w,1
550.46,q,1
566.854,p,1
573.861,q,1
591.107,p,1
600.786,q,1
633.181,p,1
648.781,q,1
650.78,w,1
659.98,o,1
661.581,p,1
664.786,o,1
666.38,p,1
667.584,o,1
669.188,w,1
677.587,q,1
680.388,w,1
681.988,q,1
685.584,p,1
697.094,END,0
