time,code,class
37.022,o,1
40.504,w,1
56.382,q,1
58.622,w,1
65.462,q,1
67.066,w,1
68.264,q,1
71.062,w,1
76.66,q,1
79.067,w,1
87.462,q,1
89.066,w,1
122.901,q,1
132.704,w,1
133.104,q,1
143.184,w,1
143.988,q,1
146.782,w,1
148.384,q,1
149.184,p,1
161.588,q,1
163.585,w,1
167.186,q,1
187.74,w,1
206.941,p,1
215.984,o,1
216.781,w,1
219.984,q,1
221.586,w,1
224.78,q,1
229.421,w,1
230.222,q,1
236.063,p,1
246.865,q,1
271.548,p,1
282.821,q,1
290.661,w,1
292.261,q,1
295.46,w,1
296.26,q,1
303.308,w,1
306.904,q,1
310.907,w,1
312.501,p,1
317.701,q,1
328.545,p,1
334.541,q,1
347.745,p,1
354.541,q,1
367.426,w,1
374.22,q,1
377.824,w,1
379.428,p,1
387.024,q,1
401.065,p,1
409.468,q,1
421.146,w,1
428.341,q,1
436.588,w,1
438.58,q,1
462.028,p,1
470.221,q,1
478.421,w,1
480.021,q,1
492.02,w,1
493.22,q,1
496.901,p,1
498.106,q,1
511.541,p,1
520.74,q,1
528.346,w,1
533.943,q,1
545.14,p,1
555.788,q,1
569.061,w,1
570.261,p,1
583.661,q,1
599.341,w,1
608.942,q,1
615.34,p,1
637.387,o,1
638.581,w,1
641.781,q,1
646.981,w,1
657.78,o,1
661.388,p,1
671.38,o,1
672.916,w,1
674.291,q,1
677.047,w,1
681.691,END,0
