time,code,class
32.442,w,1
47,q,1
48.042,w,1
78.202,q,1
84.44,w,1
88.082,q,1
89.122,w,1
134.88,q,1
136.962,w,1
151.52,q,1
154.64,w,1
162.44,o,1
163.76,w,1
172.08,q,1
181.44,w,1
185.082,o,1
193.442,w,1
215.802,q,1
219.96,o,1
222.04,p,1
233.48,o,1
234.002,w,1
243.36,o,1
243.88,p,1
254.8,o,1
255.84,w,1
271.96,o,1
273,p,1
280.88,o,1
281.92,w,1
287.12,q,1
289.202,w,1
290.24,q,1
292.32,w,1
294.402,q,1
297.52,w,1
304.28,o,1
305.32,p,1
313.64,o,1
314.682,p,1
315.722,o,1
316.762,w,1
322.48,q,1
332.36,w,1
333.4,q,1
346.92,p,1
358.36,o,1
358.88,w,1
362,q,1
370.842,p,1
379.68,o,1
380.202,w,1
390.6,q,1
394.762,p,1
398.4,o,1
400.52,q,1
409.88,w,1
417.68,q,1
419.762,w,1
420.802,q,1
423.92,w,1
440.042,q,1
460.32,p,1
461.88,q,1
469.162,p,1
476.44,o,1
477.48,p,1
480.08,o,1
484.24,w,1
491.002,q,1
498.282,p,1
501.402,q,1
519.08,p,1
522.722,o,1
524.84,p,1
532.64,o,1
532.64,w,1
539.92,q,1
542,w,1
543.042,q,1
544.602,w,1
545.64,q,1
553.96,p,1
555.002,q,1
573.204,p,1
575.802,q,1
605.962,w,1
606.482,o,1
611.24,p,1
619.042,o,1
619.56,w,1
626.842,q,1
632.082,p,1
643.002,q,1
651.32,p,1
663.8,o,1
664.322,w,1
667.18,END,0
