time,code,class
62.762,w,1
79.922,q,1
111.642,w,1
114.242,q,1
135.04,w,1
136.602,q,1
138.68,w,1
139.722,q,1
200.04,w,1
225.002,q,1
240.082,w,1
256.722,o,1
258.282,w,1
259.322,q,1
264.002,w,1
266.082,o,1
268.202,p,1
281.202,q,1
283.802,w,1
285.362,q,1
297.44,w,1
299.52,q,1
301.602,w,1
304.202,o,1
305.76,p,1
317.722,q,1
328.122,w,1
342.16,q,1
344.24,p,1
370.68,o,1
371.722,w,1
374.32,q,1
409.162,w,1
414.362,q,1
430.48,w,1
431.52,q,1
453.402,p,1
469,q,1
472.642,p,1
487.722,q,1
505.922,p,1
518.962,q,1
520.52,p,1
532.48,q,1
533.522,p,1
534.562,q,1
574.082,p,1
575.642,q,1
577.722,p,1
580.842,q,1
583.96,w,1
585.002,q,1
587.082,o,1
587.602,p,1
619.842,q,1
625.042,w,1
626.082,q,1
628.162,w,1
635.962,q,1
657.28,w,1
658.322,o,1
658.842,p,1
664.04,o,1
665.082,w,1
666.642,q,1
681.384,END,0
